stock_code,year,name,industry,revenue,net_income,roe,gross_margin,total_assets,fixed_assets,size_log,roa
300343,2019,ST联创,化学制品,3464406071.22,-962878170.93,-96.51,10.7268792705,,,,
603616,2019,韩建河山,水泥,921858444.09,-85439749.11,-8.88,22.0840184895,,,,
600326,2019,西藏天路,水泥,5621295713.83,395544242.51,13.28,31.0905756883,,,,
300335,2019,迪森股份,电力,1460955401.39,82037786.3,5.5,28.8123009744,,,,
002092,2019,中泰化学,化学原料,83115316851.95,383258654.67,1.9253,7.0625607727,,,,
600624,2019,ST复华,化学制药,1399901826.36,4748602.34,0.43,37.9857681687,,,,
002748,2019,世龙实业,化学原料,1682657612.31,-18240404.85,-1.59,9.0824990243,,,,
002310,2019,东方新能,电力,8097778725.23,16486763.94,0.13,29.1876814111,,,,
000635,2019,英力特,化学原料,2087210111.84,51084979.73,1.92,13.4550560888,,,,
002652,2019,扬子新材,装修建材,2195365436.27,-317617025.45,-53.75,7.8845592237,,,,
000908,2019,*ST景峰,化学制药,1344029111.24,-890146547.74,-43.45,60.0594199641,,,,
603318,2019,水发燃气,燃气Ⅱ,323609212.96,-120107151.05,-12.48,8.4853449223,,,,
600023,2019,浙能电力,电力,54370549106.11,4286702877.4,6.87,12.5058600588,,,,
688189,2019,南新制药,化学制药,1014222981.82,91474296.99,32.66,88.6128177314,,,,
001335,2019,信凯科技,化学制品,1036629696.71,49761675.79,43.46,14.9369841199,,,,
920469,2019,富恒新材,塑料,326285056.84,1043028.27,0.59,9.6262996946,,,,
002584,2019,西陇科学,电子化学品Ⅱ,3337661961.68,38527214.95,2.08,15.9415779018,,,,
603020,2019,爱普股份,化学制品,2474657720.6,115545106.76,5.71,20.1535060618,,,,
002218,2019,拓日新能,电力,1053891907.66,68881276.98,2.67,30.2965749551,,,,
920471,2019,美邦科技,化学制品,172364217.07,24966674.75,8.87,42.6817462641,,,,
301429,2019,森泰股份,装修建材,533584499.96,47062627.03,16.93,29.3041166398,,,,
688603,2019,天承科技,电子化学品Ⅱ,167788049.3,22985277.13,33.6,43.495068102,,,,
001286,2019,陕西能源,电力,7267761178.44,526992786.4,4.3,38.408343869,,,,
603125,2019,常青科技,化学制品,542966290.63,77435942.05,26.94,35.3127780875,,,,
001367,2019,海森药业,化学制药,266817904.04,68957547.5,28.35,48.0295304624,,,,
920304,2019,迪尔化工,化学原料,315066615.91,24338827.39,18.88,19.7102168348,,,,
920261,2019,一诺威,化学制品,4554753647.79,166751502.28,22.71,10.6302212699,,,,
920099,2019,瑞华技术,化学制品,189818399.97,67519469.78,55.12,57.5362306643,,,,
601065,2019,江盐集团,化学原料,1381586524.47,40142573.49,3.34,33.6154857929,,,,
920656,2019,海昇药业,化学制药,144974199.61,28910209.34,39.22,32.2955168409,,,,
001369,2019,双欣材料,化学纤维,3341092373.1,253729340.25,17.31,25.2865752079,,,,
001358,2019,兴欣新材,化学制品,311054400.42,59820059.97,26.63,40.4066902511,,,,
920175,2019,东方碳素,非金属材料Ⅱ,182377356.2,24386606.86,10.14,32.0275804777,,,,
301618,2019,长联科技,化学制品,459259767.77,61820630.78,22.67,34.2850722554,,,,
301281,2019,科源制药,化学制药,311006854.1,30145515.78,11.1,45.49825222,,,,
603172,2019,万丰股份,化学制品,672834598.47,122612838.88,35.74,42.9900544231,826902024.93,97042137.94,20.533196775510294,0.14827976614324967
920665,2019,科强股份,橡胶,256499148.28,49213877.79,20.49,39.2190479947,,,,
301246,2019,宏源药业,化学制药,1601725322.96,313832495.66,40.76,36.9535182278,,,,
920792,2019,东和新材,装修建材,573840888.7,81474078.38,17.86,30.4294332974,,,,
920719,2019,宁新新材,非金属材料Ⅱ,229349463.54,48102003.95,16.09,40.2934607623,,,,
