序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,report_date,year
1,920076,国亮新材,0.62,937472439.35,9.8568278059,,40367999.56,151.2307006628,,8.69,7.33,0.672442150847,17.3840392122,装修建材,2026-03-13,20221231,2022
2,874580,锐翔智能,1.34,310768811.95,,,51555918.95,,,4.174101391459,29.04,2.407177885652,42.9988924151,,2026-03-13,20221231,2022
3,874500,杰理科技,0.88,2266727812.13,-7.8909223272,,335974529.17,-38.1407410467,,6.048282185195,15.29,2.013168897056,28.3531495211,,2026-03-13,20221231,2022
4,874492,振宏股份,0.81,827179146.34,,,62843146.98,,,5.149042665099,17.09,-1.654869793007,17.5590067947,,2026-03-13,20221231,2022
5,874433,安达股份,0.22,771428485.96,17.2441094643,,18316232.05,-17.0220959272,,3.49,6.45,-0.070359533452,10.1661517571,,2026-03-13,20221231,2022
6,920188,悦龙科技,0.79,188965809.53,,,47923377.27,,,4.438492666393,16.93,0.949221070656,51.9685782652,橡胶,2026-03-12,20221231,2022
7,874157,悦龙科技,0.79,188965809.53,,,47923377.27,,,4.438492666393,16.93,0.949221070656,51.9685782652,,2026-03-12,20221231,2022
8,688813,泰金新能,0.82,1004579474.66,93.4069847917,,98293614.25,78.7715690179,,2.230332321833,44.97,1.965395203667,21.4463517835,专用设备,2026-03-12,20221231,2022
9,301683,慧谷新材,,663599243.44,,,30091666.22,,,71.446473114,3.84,3.144061528,29.5570148021,化学制品,2026-03-12,20221231,2022
10,001257,盛龙股份,0.33,1911411216.32,,,343887467.86,,,1.76000811203,15.92,0.34672876341,49.1371711137,小金属,2026-03-12,20221231,2022
11,874142,南方乳业,1.15,1575395158.41,18.7996947577,,173023672.14,22.0633437834,,9.55,12.86,2.375950937467,24.6122521274,,2026-03-11,20221231,2022
12,874628,欧伦电气,1.8,971708940.35,,,92450681.58,,,6.181023571642,34.05,4.513013862313,22.237263885,,2026-03-10,20221231,2022
13,603260,合盛硅业,4.79,23656904446.79,10.6212868894,2.0107,5148322057.78,-37.39,-41.1486,22.186715785689,23.63,-0.582806199905,34.3870430064,化学制品,2026-03-07,20221231,2022
14,600529,山东药玻,1.03,4187279279.75,8.0503248971,18.421,618287086.47,4.6,-28.5875,10.490553687381,12.28,0.380405298252,26.8435039255,医疗器械,2026-03-07,20221231,2022
15,874679,正大种业,0.68,318682442.53,,,94694020.57,,,2.345052064219,33.17,0.664068538427,47.1251210697,,2026-03-06,20221231,2022
16,873414,科莱瑞迪,1.12,233262650.55,11.8137667642,,69367304.42,15.380322928,,5.57974547589,21.94,0.864254235437,64.6267372228,,2026-03-06,20221231,2022
17,688781,视涯科技,-2.22,190433103.22,,,-247488683.19,,,14.005045795856,-14.85,-2.004947347289,19.1358930217,光学光电子,2026-03-06,20221231,2022
18,920078,族兴新材,0.53,629407563.47,27.4313617379,,51778875.45,-18.4618307555,,6.55256793433,8.51,-0.100846130825,20.284557978,金属新材料,2026-03-05,20221231,2022
19,874848,新派能源,1.95,1279050231.56,,,108247065.94,,,11.5197188153,17.63,4.556386885974,22.6953545605,,2026-03-05,20221231,2022
20,874573,信胜科技,0.5,599571137.7,,,52598379.31,,,2.719809194095,19.01,0.363588138095,20.2745259847,,2026-03-05,20221231,2022
21,874419,振华海科,0.47,457249738.51,,,50970436.48,,,5.488306343613,10.94,0.172408063396,37.387950103,,2026-03-05,20221231,2022
